"Season","Age","Tm","Lg","Pos","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","player","ID"
"2020-21",22,"CLE","NBA","C",16,287,20.3,0.62,0.066,0.385,9.5,28.4,18.7,22.8,1.4,5.9,17.8,19.6,0.5,0.4,0.9,0.151,-0.6,2.3,1.7,0.3,"Isaiah Hartenstein","harteis01"
"2020-21",40,"MIA","NBA","C",1,3,54.6,1,0,0,0,37.5,19.1,0,0,0,0,30.1,0,0,0,0.475,24.1,7,31.1,0,"Udonis Haslem","hasleud01"
"2020-21",19,"DET","NBA","PG",26,670,5.3,0.422,0.358,0.085,1,10.6,5.7,29.7,2,1.3,28.5,19,-1.8,0.6,-1.1,-0.081,-6.3,-0.9,-7.2,-0.9,"Killian Hayes","hayeski01"
"2020-21",30,"CHO","NBA","SF",44,1496,17.6,0.584,0.312,0.281,2.6,16.3,9.3,19.5,1.7,0.9,11,23.9,2.2,1.4,3.5,0.114,1.6,-0.1,1.6,1.4,"Gordon Hayward","haywago01"
"2020-21",25,"MIN","NBA","PF",52,900,12.1,0.549,0.562,0.324,5.2,20,12.3,5.6,1,0.7,7.3,17.2,0.6,0.5,1.1,0.06,-1.1,-1.8,-2.9,-0.2,"Juancho Hernangómez","hernaju01"
"2020-21",26,"NOP","NBA","C",47,846,19.6,0.591,0.037,0.347,15,27.8,21.4,8.5,1.2,2.6,9.9,17,1.9,1,2.9,0.163,1,-1,0,0.4,"Willy Hernangómez","hernawi01"
"2020-21",21,"MIA","NBA","SG",54,1635,13.3,0.543,0.425,0.167,1.8,16.7,9.4,18,1.1,1.1,11.9,23.5,0.1,1.6,1.7,0.049,-0.3,-1,-1.3,0.3,"Tyler Herro","herroty01"
"2020-21",28,"SAC","NBA","SG",71,2433,12.8,0.567,0.727,0.105,1.3,14.1,7.6,14.7,1.2,1,11.1,20.7,1.5,0.7,2.2,0.044,1,-1.6,-0.6,0.9,"Buddy Hield","hieldbu01"
"2020-21",34,"TOT","NBA","PG",30,672,13.1,0.596,0.406,0.254,2.6,7.2,4.9,16,1.6,0.7,12.4,15.9,0.9,0.6,1.4,0.1,-1,-0.2,-1.2,0.1,"George Hill","hillge01"
"2020-21",34,"OKC","NBA","PG",14,369,15.9,0.63,0.475,0.208,2.2,6,4.1,18.2,1.5,0.5,8.4,16.5,0.8,0.2,1,0.129,0.9,0.1,1,0.3,"George Hill","hillge01"
