"Season","Age","Tm","Lg","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","player","ID"
"2020-21",27,"TOT","NBA","SF,SG","69","58","32","6.3","13.3","0.477","2.5","6","0.411","3.9","7.3","0.532","0.57","3.4","3.9","0.871","0.6","2.5","3.1","1.9","1.2","0.3","1.7","2.3","18.6","Norman Powell","powelno01"
"2020-21",27,"TOR","NBA","SG","42","31","30.4","6.7","13.5","0.498","2.8","6.4","0.439","3.9","7.1","0.552","0.602","3.4","3.9","0.865","0.5","2.5","3","1.8","1.1","0.2","1.8","2.3","19.6","Norman Powell","powelno01"
"2020-21",27,"POR","NBA","SF","27","27","34.4","5.8","13","0.443","2","5.4","0.361","3.8","7.6","0.502","0.518","3.5","4","0.88","0.9","2.4","3.3","1.9","1.3","0.4","1.6","2.3","17","Norman Powell","powelno01"
"2020-21",26,"TOT","NBA","PF","41","10","22.1","3.2","8","0.401","1.5","3.8","0.4","1.7","4.2","0.401","0.495","1.6","1.9","0.855","0.5","3","3.5","1.9","0.7","0.6","1.1","1.8","9.5","Taurean Prince","princta02"
"2020-21",26,"BRK","NBA","PF","12","4","18.2","2.5","6.2","0.405","1.1","3.1","0.351","1.4","3.1","0.459","0.493","2","2.3","0.889","0.2","2.7","2.8","0.6","0.7","0.7","0.9","1.8","8.1","Taurean Prince","princta02"
"2020-21",26,"CLE","NBA","PF","29","6","23.7","3.5","8.7","0.399","1.7","4.1","0.415","1.8","4.7","0.385","0.496","1.4","1.7","0.837","0.6","3.1","3.7","2.4","0.7","0.5","1.2","1.9","10.1","Taurean Prince","princta02"
"2020-21",23,"BOS","NBA","SG","66","4","19.2","2.8","6.3","0.44","1.5","3.8","0.411","1.2","2.6","0.482","0.562","0.6","0.7","0.889","0.5","1.9","2.4","1.8","0.6","0.1","0.8","1.6","7.7","Payton Pritchard","pritcpa01"
"2020-21",21,"NYK","NBA","PG","64","3","19.4","3.6","9.1","0.395","1.8","4.7","0.389","1.7","4.3","0.401","0.497","2.4","2.7","0.891","0.4","1.8","2.1","2","0.5","0.2","0.9","1.8","11.4","Immanuel Quickley","quickim01"
"2020-21",26,"NYK","NBA","PF","71","71","37.6","8.5","18.6","0.456","2.3","5.5","0.411","6.2","13.1","0.474","0.516","4.9","6","0.811","1.2","9","10.2","6","0.9","0.3","3.4","3.2","24.1","Julius Randle","randlju01"
"2020-21",21,"ATL","NBA","SF","26","21","28.8","3.7","10.1","0.365","1.3","4.8","0.262","2.4","5.3","0.46","0.428","2.6","3.2","0.817","0.8","3.2","4","1.3","1.3","0.3","1.3","2.6","11.2","Cam Reddish","reddica01"
"2020-21",21,"PHI","NBA","PF","26","0","6.8","1.6","3","0.538","0","0.2","0","1.6","2.8","0.583","0.538","0.2","0.3","0.5","1.2","1.2","2.3","0.5","0.4","0.5","0.5","1.1","3.4","Paul Reed","reedpa01"
